,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-29 10:59:59.999,1714366800000,62542.00000000,62542.00000000,62331.11000000,62344.01000000,251.31609000,1714368599999,15692329.06169370,13703,126.38841000,7891975.32867750,0
2024-04-29 11:29:59.999,1714368600000,62344.02000000,62453.76000000,62059.27000000,62444.88000000,664.72914000,1714370399999,41397516.42488810,28080,319.30061000,19891289.87471220,0
2024-04-29 11:59:59.999,1714370400000,62444.88000000,62473.80000000,62231.34000000,62304.24000000,431.46099000,1714372199999,26910926.93731220,19660,210.90340000,13156142.52727660,0
2024-04-29 12:29:59.999,1714372200000,62304.24000000,62304.24000000,61923.13000000,62199.69000000,1298.92354000,1714373999999,80672383.52807130,46932,560.44520000,34809148.41612730,0
2024-04-29 12:59:59.999,1714374000000,62199.69000000,62301.15000000,61942.38000000,62273.20000000,872.79333000,1714375799999,54241772.34284950,30617,480.17709000,29845335.24614250,0
2024-04-29 13:29:59.999,1714375800000,62273.19000000,62417.85000000,62222.98000000,62399.98000000,490.53708000,1714377599999,30572569.57844730,20748,267.94986000,16699800.13929230,0
2024-04-29 13:59:59.999,1714377600000,62399.98000000,62498.61000000,62220.01000000,62376.71000000,475.90279000,1714379399999,29681344.76429970,21336,250.48474000,15623569.39145530,0
2024-04-29 14:29:59.999,1714379400000,62376.72000000,62422.00000000,62227.96000000,62398.00000000,334.96206000,1714381199999,20885528.46419170,18371,177.82317000,11088737.52900190,0
2024-04-29 14:59:59.999,1714381200000,62397.99000000,62406.00000000,62276.73000000,62294.01000000,276.23146000,1714382999999,17216407.05768810,16296,158.45628000,9876124.47845470,0
2024-04-29 15:29:59.999,1714383000000,62294.01000000,62660.01000000,62284.47000000,62536.01000000,400.52627000,1714384799999,25015266.90264710,19855,272.62903000,17026714.22780940,0
2024-04-29 15:59:59.999,1714384800000,62536.01000000,62673.18000000,62491.30000000,62524.00000000,461.51363000,1714386599999,28875614.81467120,20038,237.51558000,14860272.95320310,0
2024-04-29 16:29:59.999,1714386600000,62524.00000000,62560.00000000,62388.96000000,62388.97000000,297.38216000,1714388399999,18574352.77960760,15428,151.93705000,9490107.23150800,0
2024-04-29 16:59:59.999,1714388400000,62388.96000000,62421.66000000,62325.60000000,62342.03000000,266.50811000,1714390199999,16624721.06805260,14100,141.56292000,8831116.91576290,0
2024-04-29 17:29:59.999,1714390200000,62342.04000000,62368.23000000,62179.99000000,62256.00000000,520.88285000,1714391999999,32436803.17449030,21905,243.48679000,15162944.68865030,0
2024-04-29 17:59:59.999,1714392000000,62256.00000000,62388.43000000,62196.40000000,62334.01000000,376.28950000,1714393799999,23448267.43145180,16487,207.18317000,12911838.99873040,0
2024-04-29 18:29:59.999,1714393800000,62334.01000000,62653.44000000,62049.00000000,62602.33000000,1050.69291000,1714395599999,65564580.31702600,33276,635.89343000,39694690.78104690,0
2024-04-29 18:59:59.999,1714395600000,62602.32000000,62698.55000000,62440.00000000,62508.00000000,641.39358000,1714397399999,40126666.93199970,22520,312.54098000,19554964.36135280,0
2024-04-29 19:29:59.999,1714397400000,62508.00000000,62600.00000000,61765.53000000,62014.00000000,1898.49949000,1714399199999,117870598.08254040,65127,860.11226000,53407783.19578690,0
2024-04-29 19:59:59.999,1714399200000,62014.00000000,62882.30000000,61878.61000000,62824.00000000,1798.90899000,1714400999999,112202700.67344890,49773,1009.23628000,62965683.52360330,0
2024-04-29 20:29:59.999,1714401000000,62824.00000000,63014.67000000,62674.00000000,62834.99000000,1164.14487000,1714402799999,73133429.52048010,36250,600.18841000,37708433.19359900,0
2024-04-29 20:59:59.999,1714402800000,62834.99000000,62953.05000000,62735.55000000,62904.00000000,579.50923000,1714404599999,36421752.56887740,22705,262.45747000,16494970.63555520,0
2024-04-29 21:29:59.999,1714404600000,62904.00000000,63112.29000000,62860.00000000,63039.07000000,703.07688000,1714406399999,44272889.91688790,25745,369.47917000,23267924.47252330,0
2024-04-29 21:59:59.999,1714406400000,63039.07000000,63158.80000000,62933.40000000,62978.38000000,675.25537000,1714408199999,42562053.12513030,25458,327.90610000,20668122.04847300,0
2024-04-29 22:29:59.999,1714408200000,62978.38000000,62981.85000000,62754.00000000,62792.02000000,553.77082000,1714409999999,34811482.28409460,22677,207.86568000,13067769.12232400,0
2024-04-29 22:59:59.999,1714410000000,62792.01000000,63221.74000000,62774.38000000,63184.22000000,435.82450000,1714411799999,27448887.63033130,22497,245.86539000,15485135.13516920,0
2024-04-29 23:29:59.999,1714411800000,63184.22000000,63206.00000000,62960.00000000,63033.23000000,344.05358000,1714413599999,21692256.19154750,17173,148.79965000,9380521.17515160,0
2024-04-29 23:59:59.999,1714413600000,63033.24000000,63050.00000000,62848.27000000,62940.87000000,299.50660000,1714415399999,18850681.68585290,15263,110.71947000,6967640.92871200,0
2024-04-30 00:29:59.999,1714415400000,62940.88000000,62950.46000000,62705.88000000,62870.00000000,312.78692000,1714417199999,19649699.63485430,17238,120.57262000,7573346.40453630,0
