,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-29 06:59:59.999,1714352400000,3282.52000000,3285.91000000,3264.38000000,3270.90000000,4369.92620000,1714354199999,14307228.10112200,12336,1727.54850000,5657629.30874400,0
2024-04-29 07:29:59.999,1714354200000,3270.90000000,3286.95000000,3270.21000000,3276.06000000,8090.60830000,1714355999999,26530727.23764100,14970,4082.20070000,13384882.83390100,0
2024-04-29 07:59:59.999,1714356000000,3276.05000000,3279.56000000,3254.08000000,3262.10000000,11842.55130000,1714357799999,38678105.05787100,20334,5776.51120000,18862929.45749200,0
2024-04-29 08:29:59.999,1714357800000,3262.09000000,3262.47000000,3215.00000000,3221.46000000,23260.22440000,1714359599999,75274741.95022800,41137,9904.39220000,32047307.96458400,0
2024-04-29 08:59:59.999,1714359600000,3221.46000000,3224.91000000,3194.27000000,3204.58000000,26925.02290000,1714361399999,86335015.19074900,43877,11248.36800000,36066825.48707000,0
2024-04-29 09:29:59.999,1714361400000,3204.57000000,3204.58000000,3168.01000000,3177.60000000,21597.26150000,1714363199999,68901973.35538500,36291,9166.81770000,29239693.75480400,0
2024-04-29 09:59:59.999,1714363200000,3177.60000000,3198.75000000,3171.60000000,3196.81000000,9145.63060000,1714364999999,29158260.12220600,22538,4912.35630000,15663535.92237900,0
2024-04-29 10:29:59.999,1714365000000,3196.80000000,3206.43000000,3193.48000000,3201.49000000,8202.34200000,1714366799999,26255283.40535100,14712,4172.17040000,13354402.14419000,0
2024-04-29 10:59:59.999,1714366800000,3201.49000000,3201.50000000,3188.00000000,3189.45000000,6677.74100000,1714368599999,21330263.79926300,13478,2709.55400000,8656483.10455900,0
2024-04-29 11:29:59.999,1714368600000,3189.45000000,3205.00000000,3175.45000000,3204.96000000,12463.58550000,1714370399999,39753290.13865300,22127,6854.73960000,21869841.63670100,0
2024-04-29 11:59:59.999,1714370400000,3204.96000000,3208.28000000,3183.73000000,3190.42000000,7282.51310000,1714372199999,23277609.97592300,17885,3452.64680000,11036342.41006500,0
2024-04-29 12:29:59.999,1714372200000,3190.43000000,3190.60000000,3153.44000000,3181.85000000,28184.71840000,1714373999999,89398694.48639000,50343,14556.35880000,46168361.41085100,0
2024-04-29 12:59:59.999,1714374000000,3181.85000000,3189.54000000,3171.66000000,3185.21000000,9509.69750000,1714375799999,30262812.99679100,25216,5278.12630000,16797249.81165500,0
2024-04-29 13:29:59.999,1714375800000,3185.21000000,3190.18000000,3181.13000000,3189.00000000,7554.80480000,1714377599999,24065862.20929900,18187,5201.46450000,16568899.23183300,0
2024-04-29 13:59:59.999,1714377600000,3188.99000000,3189.00000000,3169.50000000,3180.74000000,7811.86410000,1714379399999,24850805.99554900,17625,4380.17370000,13937238.13179400,0
2024-04-29 14:29:59.999,1714379400000,3180.73000000,3180.79000000,3165.00000000,3172.10000000,8605.39940000,1714381199999,27290403.28686100,20384,5670.10520000,17981988.49098200,0
2024-04-29 14:59:59.999,1714381200000,3172.11000000,3176.80000000,3160.96000000,3166.29000000,6264.87670000,1714382999999,19852332.23496600,16166,2934.62200000,9298164.87710400,0
2024-04-29 15:29:59.999,1714383000000,3166.28000000,3187.30000000,3165.50000000,3177.28000000,5815.53760000,1714384799999,18477826.69497100,15219,2985.72610000,9485669.38475400,0
2024-04-29 15:59:59.999,1714384800000,3177.28000000,3195.40000000,3174.43000000,3187.81000000,7823.60530000,1714386599999,24920898.40296300,16186,4332.92060000,13804082.18844300,0
2024-04-29 16:29:59.999,1714386600000,3187.81000000,3189.20000000,3172.01000000,3175.88000000,3916.99260000,1714388399999,12454732.62153200,12956,1651.44270000,5251583.42387800,0
2024-04-29 16:59:59.999,1714388400000,3175.88000000,3178.99000000,3168.42000000,3170.00000000,5576.96460000,1714390199999,17702571.53800600,12390,3106.65120000,9862553.78757600,0
2024-04-29 17:29:59.999,1714390200000,3170.00000000,3170.01000000,3147.54000000,3160.11000000,15099.11930000,1714391999999,47683890.77176800,27792,7268.95840000,22951099.35968000,0
2024-04-29 17:59:59.999,1714392000000,3160.11000000,3173.44000000,3154.33000000,3163.20000000,4824.23960000,1714393799999,15266693.65986800,14812,2981.19500000,9434164.62721300,0
2024-04-29 18:29:59.999,1714393800000,3163.21000000,3175.08000000,3133.00000000,3171.57000000,16867.33170000,1714395599999,53188938.35675900,34380,7960.29670000,25106602.80012600,0
2024-04-29 18:59:59.999,1714395600000,3171.58000000,3176.10000000,3148.07000000,3150.94000000,8442.36870000,1714397399999,26676632.19824300,22026,4219.07850000,13334032.06957900,0
2024-04-29 19:29:59.999,1714397400000,3150.94000000,3155.48000000,3115.13000000,3131.59000000,21051.65140000,1714399199999,65912467.19374900,43225,9866.13950000,30887469.07638800,0
2024-04-29 19:59:59.999,1714399200000,3131.60000000,3175.00000000,3124.61000000,3169.60000000,11638.94880000,1714400999999,36623641.95878900,28450,6291.94150000,19802735.08120000,0
2024-04-29 20:29:59.999,1714401000000,3169.60000000,3181.71000000,3166.71000000,3175.75000000,11217.49610000,1714402799999,35601085.72301000,23994,6325.97050000,20077233.45366800,0
2024-04-29 20:59:59.999,1714402800000,3175.74000000,3180.59000000,3167.17000000,3173.19000000,5471.01550000,1714404599999,17365097.42139900,15657,2796.62270000,8876950.26683900,0
2024-04-29 21:29:59.999,1714404600000,3173.19000000,3186.54000000,3171.40000000,3182.45000000,7068.12340000,1714406399999,22467195.13926000,16273,4009.32260000,12744856.03053900,0
2024-04-29 21:59:59.999,1714406400000,3182.45000000,3189.60000000,3173.71000000,3174.75000000,6274.98570000,1714408199999,19958790.91567600,16456,2858.92370000,9093506.25323700,0
2024-04-29 22:29:59.999,1714408200000,3174.76000000,3175.33000000,3155.23000000,3158.50000000,8440.42940000,1714409999999,26712287.50731300,18388,2851.91750000,9027454.52252200,0
2024-04-29 22:59:59.999,1714410000000,3158.49000000,3178.26000000,3157.31000000,3175.69000000,3614.66710000,1714411799999,11449760.09709600,13569,1876.01340000,5943129.54755100,0
2024-04-29 23:29:59.999,1714411800000,3175.70000000,3180.00000000,3168.90000000,3173.86000000,5452.94830000,1714413599999,17306372.75868500,14340,3326.97110000,10559066.21628000,0
2024-04-29 23:59:59.999,1714413600000,3173.85000000,3178.54000000,3167.10000000,3174.00000000,3872.99710000,1714415399999,12287583.80889800,11242,2051.58940000,6510143.76671600,0
2024-04-30 00:29:59.999,1714415400000,3174.01000000,3176.63000000,3161.60000000,3175.89000000,3013.91290000,1714417199999,9547092.21265200,12070,1477.32910000,4680884.17111800,0
2024-04-30 00:59:59.999,1714417200000,3175.88000000,3175.89000000,3162.03000000,3165.75000000,6522.87280000,1714418999999,20674863.73864200,15473,2518.25930000,7980687.02592300,0
2024-04-30 01:29:59.999,1714419000000,3165.75000000,3186.02000000,3164.38000000,3186.01000000,3759.29660000,1714420799999,11935868.44675100,12256,2304.88940000,7318066.54131200,0
2024-04-30 01:59:59.999,1714420800000,3186.02000000,3193.04000000,3179.96000000,3180.81000000,3274.97160000,1714422599999,10434629.26163200,11165,1650.42910000,5258897.79045000,0
2024-04-30 02:29:59.999,1714422600000,3180.80000000,3183.40000000,3174.15000000,3176.80000000,1663.23840000,1714424399999,5285724.66170200,7803,621.64410000,1975728.29423700,0
2024-04-30 02:59:59.999,1714424400000,3176.80000000,3178.40000000,3163.91000000,3168.89000000,2516.89550000,1714426199999,7983753.84392000,8519,951.48050000,3017999.55831000,0
2024-04-30 03:29:59.999,1714426200000,3168.89000000,3178.58000000,3164.60000000,3176.00000000,1761.83860000,1714427999999,5590203.88300900,7044,1014.65230000,3219484.00629900,0
2024-04-30 03:59:59.999,1714428000000,3176.00000000,3198.19000000,3172.61000000,3197.60000000,5001.60690000,1714429799999,15936481.56445100,14039,2925.34870000,9320823.42313100,0
2024-04-30 04:29:59.999,1714429800000,3197.61000000,3220.00000000,3197.60000000,3215.41000000,10285.35660000,1714431599999,33031487.39904900,26648,5557.27000000,17846750.28312100,0
2024-04-30 04:59:59.999,1714431600000,3215.40000000,3235.43000000,3215.12000000,3225.89000000,9361.15860000,1714433399999,30221638.26544400,22748,4998.95870000,16136403.02698500,0
2024-04-30 05:29:59.999,1714433400000,3225.89000000,3231.76000000,3213.64000000,3216.73000000,3877.61160000,1714435199999,12495470.34255100,12479,1875.32100000,6042268.86415200,0
2024-04-30 05:59:59.999,1714435200000,3216.74000000,3221.37000000,3202.14000000,3221.36000000,4519.32250000,1714436999999,14506091.95967100,14884,2106.95170000,6764571.45130000,0
2024-04-30 06:29:59.999,1714437000000,3221.37000000,3250.95000000,3214.75000000,3244.37000000,10481.24030000,1714438799999,33889857.12380200,26478,5464.18990000,17665899.72798500,0
2024-04-30 06:59:59.999,1714438800000,3244.37000000,3245.20000000,3220.66000000,3225.24000000,6661.24160000,1714440599999,21520420.83827200,16522,3148.86260000,10170440.51624600,0
2024-04-30 07:29:59.999,1714440600000,3225.23000000,3227.37000000,3170.26000000,3173.40000000,15240.83230000,1714442399999,48787538.62637800,30028,6782.98860000,21711891.15655000,0
2024-04-30 07:59:59.999,1714442400000,3173.41000000,3186.63000000,3150.00000000,3184.40000000,19311.88870000,1714444199999,61139643.89485900,35782,9524.09850000,30155678.66169800,0
2024-04-30 08:29:59.999,1714444200000,3184.40000000,3197.37000000,3181.05000000,3193.65000000,4624.86180000,1714445999999,14765280.63927700,15350,2478.68440000,7913063.24643100,0
2024-04-30 08:59:59.999,1714446000000,3193.65000000,3194.79000000,3183.43000000,3189.05000000,3146.45050000,1714447799999,10029411.59649200,11228,1310.22020000,4176097.88391900,0
2024-04-30 09:29:59.999,1714447800000,3189.05000000,3191.67000000,3176.41000000,3180.79000000,2770.68860000,1714449599999,8814424.21544800,11670,1422.72670000,4526007.86328100,0
2024-04-30 09:59:59.999,1714449600000,3180.80000000,3185.48000000,3172.27000000,3175.19000000,3936.19320000,1714451399999,12511130.22987300,10300,1915.70160000,6089983.64492500,0
2024-04-30 10:29:59.999,1714451400000,3175.18000000,3180.65000000,3168.01000000,3170.55000000,4570.03760000,1714453199999,14501869.29964500,12472,2325.48030000,7380131.95331600,0
2024-04-30 10:59:59.999,1714453200000,3170.55000000,3177.20000000,3165.76000000,3171.40000000,3907.89210000,1714454999999,12392461.64936700,11258,1776.56830000,5635245.61392900,0
2024-04-30 11:29:59.999,1714455000000,3171.40000000,3171.60000000,3152.00000000,3168.91000000,6883.90240000,1714456799999,21763796.85006500,17332,3311.45860000,10470464.40423800,0
2024-04-30 11:59:59.999,1714456800000,3168.91000000,3172.79000000,3163.71000000,3171.25000000,4045.82630000,1714458599999,12815993.79891600,10809,2475.76020000,7842049.46526000,0
2024-04-30 12:29:59.999,1714458600000,3171.25000000,3175.32000000,3169.20000000,3173.00000000,2441.42220000,1714460399999,7746353.25284900,8546,1505.20680000,4776150.12059000,0
2024-04-30 12:59:59.999,1714460400000,3173.01000000,3174.16000000,3168.66000000,3170.00000000,3297.31400000,1714462199999,10458163.48537700,8460,1450.04740000,4598847.69054800,0
2024-04-30 13:29:59.999,1714462200000,3170.00000000,3172.00000000,3153.00000000,3157.35000000,7418.87110000,1714463999999,23457288.45070600,17672,3355.65400000,10612324.49180000,0
2024-04-30 13:59:59.999,1714464000000,3157.35000000,3161.75000000,3135.00000000,3139.35000000,13966.43630000,1714465799999,43937995.21727800,27918,6124.03500000,19263255.59063000,0
2024-04-30 14:29:59.999,1714465800000,3139.35000000,3139.97000000,3056.11000000,3067.35000000,45524.37370000,1714467599999,140890977.74358500,79269,19485.78970000,60285978.37429500,0
2024-04-30 14:59:59.999,1714467600000,3067.34000000,3074.60000000,3056.32000000,3067.95000000,22245.14540000,1714469399999,68206455.79536800,42397,11235.21350000,34447685.85252500,0
2024-04-30 15:29:59.999,1714469400000,3067.95000000,3067.96000000,3030.00000000,3047.80000000,19606.76950000,1714471199999,59807124.29536400,41790,9414.04970000,28715380.15282200,0
2024-04-30 15:59:59.999,1714471200000,3047.81000000,3055.84000000,3032.00000000,3049.25000000,12853.96840000,1714472999999,39130304.41786800,30636,6287.08710000,19142501.96182200,0
2024-04-30 16:29:59.999,1714473000000,3049.26000000,3051.05000000,3035.05000000,3046.14000000,7078.53950000,1714474799999,21545034.11660200,20000,3534.55500000,10757470.82583600,0
2024-04-30 16:59:59.999,1714474800000,3046.14000000,3046.14000000,3012.44000000,3017.00000000,11529.43810000,1714476599999,34927418.37512500,30858,4879.71500000,14785148.77939200,0
2024-04-30 17:29:59.999,1714476600000,3017.00000000,3025.97000000,3003.70000000,3007.45000000,20721.01850000,1714478399999,62471487.66865100,41667,10863.73170000,32754982.14374500,0
2024-04-30 17:59:59.999,1714478400000,3007.45000000,3017.20000000,2966.01000000,3014.21000000,35598.60810000,1714480199999,106678934.57461800,71052,17306.92290000,51872428.62404400,0
2024-04-30 18:29:59.999,1714480200000,3014.22000000,3016.35000000,3003.27000000,3009.20000000,11906.31100000,1714481999999,35828349.61278100,30316,5506.35940000,16570500.77508200,0
2024-04-30 18:59:59.999,1714482000000,3009.20000000,3022.78000000,3002.05000000,3012.01000000,7962.96680000,1714483799999,23979059.55487400,20148,3408.77360000,10267910.51729300,0
2024-04-30 19:29:59.999,1714483800000,3012.02000000,3019.20000000,2984.21000000,2993.61000000,14056.77020000,1714485599999,42183573.94471800,34213,6082.78760000,18252037.55573700,0
2024-04-30 19:59:59.999,1714485600000,2993.60000000,3005.96000000,2985.01000000,3000.40000000,11684.81970000,1714487399999,35009297.44183100,29868,5767.72860000,17279994.84394500,0
2024-04-30 20:29:59.999,1714487400000,3000.40000000,3037.42000000,2999.31000000,3020.38000000,13093.65240000,1714489199999,39548241.96259500,32347,6560.43410000,19814042.86515100,0
2024-04-30 20:59:59.999,1714489200000,3020.38000000,3029.00000000,2985.16000000,2998.67000000,18923.94360000,1714490999999,56827767.14593600,39232,8756.37110000,26299768.70656400,0
2024-04-30 21:29:59.999,1714491000000,2998.67000000,2999.89000000,2987.00000000,2994.12000000,7756.08940000,1714492799999,23215560.68878300,22411,3477.24100000,10407651.04914400,0
2024-04-30 21:59:59.999,1714492800000,2994.11000000,2998.60000000,2945.00000000,2967.80000000,26315.28360000,1714494599999,78167665.15284900,54966,12601.58610000,37436195.29493100,0
2024-04-30 22:29:59.999,1714494600000,2967.79000000,2990.04000000,2961.48000000,2986.99000000,11659.90580000,1714496399999,34727332.76475000,29553,5706.26720000,16999276.21515900,0
2024-04-30 22:59:59.999,1714496400000,2987.00000000,2998.00000000,2976.72000000,2992.00000000,9190.12380000,1714498199999,27476358.51888200,23890,4446.48900000,13293425.10397700,0
2024-04-30 23:29:59.999,1714498200000,2992.01000000,2993.03000000,2975.07000000,2985.26000000,9924.57610000,1714499999999,29594037.76627300,26035,4295.65130000,12808923.91284700,0
